record_type,project_id,project_name,item_id,item_name,planned_start_date,planned_end_date,actual_or_forecast_date,planned_effort_hours,owner_name,status,acceptance_criteria,classification,synthetic_record
Milestone,P009,ERP Integration,M03,Minimum viable release completed,2026-06-01,2026-06-01,2026-06-09,0,Maya Fernandes,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P009,ERP Integration,M04,User acceptance testing completed,2026-08-13,2026-08-13,2026-08-13,0,Maya Fernandes,Completed,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P009,ERP Integration,M05,Production go-live / final delivery,2026-09-19,2026-09-19,2026-09-27,0,Maya Fernandes,Forecast Late,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P009,ERP Integration,M06,Project closure accepted,2026-09-30,2026-09-30,2026-09-30,0,Maya Fernandes,Forecast On Time,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P010,GenAI Knowledge Assistant,WP01,Initiation and discovery,2026-05-04,2026-05-31,2026-05-28,436.6,Amina Amar,Completed,Initiation and discovery deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P010,GenAI Knowledge Assistant,WP02,Architecture and detailed design,2026-05-22,2026-07-07,2026-07-12,743.9,Amina Amar,Completed,Architecture and detailed design deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P010,GenAI Knowledge Assistant,WP03,Build and configuration,2026-06-23,2026-09-22,2026-09-22,1471.6,Amina Amar,Completed,Build and configuration deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P010,GenAI Knowledge Assistant,WP04,"Data, integration and migration",2026-07-11,2026-10-11,2026-10-13,1487.8,Amina Amar,Completed,"Data, integration and migration deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P010,GenAI Knowledge Assistant,WP05,"Testing, validation and remediation",2026-09-18,2026-11-16,2026-11-16,954.1,Amina Amar,In Progress,"Testing, validation and remediation deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P010,GenAI Knowledge Assistant,WP06,"Deployment, transition and closure",2026-11-07,2026-12-18,2026-12-18,663.0,Amina Amar,Not Started,"Deployment, transition and closure deliverables reviewed and accepted by the project governance body.",PROJECT_MANAGEMENT_RESTRICTED,True
Work Package,P010,GenAI Knowledge Assistant,WP07,Project management and governance,2026-05-04,2026-12-18,2026-12-20,3687.1,Nicolas Wagner,In Progress,Project management and governance deliverables reviewed and accepted by the project governance body.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P010,GenAI Knowledge Assistant,M01,Project kickoff,2026-05-09,2026-05-09,2026-05-17,0,Nicolas Wagner,Completed,Formal evidence that 'Project kickoff' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P010,GenAI Knowledge Assistant,M02,Design baseline approved,2026-06-30,2026-06-30,2026-06-30,0,Nicolas Wagner,Completed,Formal evidence that 'Design baseline approved' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P010,GenAI Knowledge Assistant,M03,Minimum viable release completed,2026-09-06,2026-09-06,2026-09-11,0,Nicolas Wagner,Completed,Formal evidence that 'Minimum viable release completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P010,GenAI Knowledge Assistant,M04,User acceptance testing completed,2026-11-07,2026-11-07,2026-11-07,0,Nicolas Wagner,Forecast On Time,Formal evidence that 'User acceptance testing completed' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P010,GenAI Knowledge Assistant,M05,Production go-live / final delivery,2026-12-09,2026-12-09,2026-12-09,0,Nicolas Wagner,Forecast On Time,Formal evidence that 'Production go-live / final delivery' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
Milestone,P010,GenAI Knowledge Assistant,M06,Project closure accepted,2026-12-18,2026-12-18,2026-12-21,0,Nicolas Wagner,Forecast On Time,Formal evidence that 'Project closure accepted' has been achieved and approved.,PROJECT_MANAGEMENT_RESTRICTED,True
